KEY;default;dk;de
adas.dss.0_0_4.models.PHYTIN.description;"THE PEST: Potato late blight is a disease caused by a fungus-like organism (Phytophthora infestans) that spreads rapidly in the potato crop canopy and can also infect tubers. 
THE DECISION: The model determines when weather conditions create high risk of infection, to guide targeting of fungicide treatment. 
THE MODEL: A high risk 'Hutton Criteria' period occurs when two consecutive days have a minimum temperature of 10°C, and at least six hours of relative humidity at or above 90%. 
THE PARAMETERS: The model uses daily air temperature and humidity 
SOURCE: James Hutton institute, UK. Introduced in the UK for the 2017 season. Dancey et al. 2017 16th Euroblight workshop. 
ASSUMPTIONS: The model does not account for higher temperatures or humidity which may occur under crop covers.
";"SKADEVOLDER: Kartoffelskimmel er en sygdom forårsaget af en svampelignende organisme (Phytophthora infestans), der spredes hurtigt i kartoffelafgrøden og også kan inficere knolde. 
BESLUTNING: Modellen bestemmer, hvornår vejrforhold skaber høj risiko for infektion, for at vejlede målretning af fungicidbehandling. 
MODELLEN: En højrisikoperiode for 'Hutton-kriterier' opstår, når to på hinanden følgende dage har en minimumstemperatur på 10 ° C og mindst seks timers relativ luftfugtighed på eller over 90%. 
PARAMETRE: Modellen bruger daglig lufttemperatur og fugtighed 
KILDE: James Hutton Institute, Storbritannien. Introduceret i Storbritannien til sæsonen 2017. Dancey et al. 2017 16. Euroblight workshop. 
ANTAGELSER: Modellen tager ikke højde for højere temperaturer eller fugtighed, som kan forekomme under afgrødedække.";"SCHADERREGER: Die Kraut- und Knollenfäule der Kartoffel ist eine Krankheit, die durch einen pilzähnlichen Organismus (Phytophthora infestans) verursacht wird, der sich schnell im Blattbereich ausbreitet und auch Knollen infizieren kann. 
ENTSCHEIDUNG: Das Modell bestimmt, wann aufgrund der Witterungsbedingungen ein hohes Infektionsrisiko besteht, um eine gezielte Fungizidbehandlung zu ermöglichen. 
MODELL: Ein Zeitraum mit hohem Risiko (""Hutton-Kriterien"") liegt vor, wenn an zwei aufeinanderfolgenden Tagen eine Mindesttemperatur von 10 °C und eine relative Luftfeuchtigkeit von mindestens sechs Stunden bei 90 % oder darüber herrscht.  
PARAMETER: Das Modell verwendet die tägliche Lufttemperatur und Luftfeuchtigkeit 
QUELLE: James-Hutton-Institut, Vereinigtes Königreich. Eingeführt im Vereinigten Königreich für die Saison 2017. Dancey et al. 2017 16. Euroblight-Workshop. 
ANNAHMEN: Das Modell berücksichtigt nicht die höheren Temperaturen oder die höhere Luftfeuchtigkeit, die unter der Folienabau auftreten können."
adas.dss.0_0_4.models.PHYTIN.execution.input_schema.properties.modelId.description;Must be CHOACU;Skal være CHOACU;Muss CHOACU sein
adas.dss.0_0_4.models.PHYTIN.execution.input_schema.properties.modelId.title;Model Id;Model-id;Modell-ID
adas.dss.0_0_4.models.PHYTIN.execution.input_schema.properties.optionalData.properties.consecutiveDays.title;Consecutive Days;På hinanden følgende dage;Aufeinanderfolgende Tage
adas.dss.0_0_4.models.PHYTIN.execution.input_schema.properties.optionalData.properties.endDate.title;Model End Date (YYYY-MM-DD);Model Slutdato (ÅÅÅÅ-MM-DD);Modell-Enddatum (JJJJ-MM-TT)
adas.dss.0_0_4.models.PHYTIN.execution.input_schema.properties.optionalData.properties.minimumTemperatureThreshold.title;Minimum Temperature Threshold;Minimum temperaturtærskel;Schwellenwert Temperaturminimum
adas.dss.0_0_4.models.PHYTIN.execution.input_schema.properties.optionalData.properties.relativeHumidityThreshold.title;Relative Humidity Threshold;Relativ fugtighedstærskel;Schwellenwert relative Luftfeuche
adas.dss.0_0_4.models.PHYTIN.execution.input_schema.properties.optionalData.properties.startDate.title;Model Start Date (YYYY-MM-DD);Model Startdato (ÅÅÅÅ-MM-DD);Modell-Startdatum (JJJJ-MM-TT)
adas.dss.0_0_4.models.PHYTIN.execution.input_schema.properties.optionalData.title;Optional parameters for the DSS;Valgfrie parametre for DSS;Optionale Parameter für den EHS
adas.dss.0_0_4.models.PHYTIN.name;Hutton Criteria Late Blight Model;Kartoffelskimmelmodellen (Hutton-kriterier);Hutton-Kriterien für die Kraut- und Knollenfäule
adas.dss.0_0_4.models.PHYTIN.output.chart_groups.G1.title;PHYTIN;PHYTIN;PHYTIN
adas.dss.0_0_4.models.PHYTIN.output.chart_heading;Hutton Criteria;Hutton kriterier;Hutton-Kriterien
adas.dss.0_0_4.models.PHYTIN.output.result_parameters.Criteria_Exceedance.description;Number of days exceeding the Hutton Criteria.;Antal dage der overskrider Hutton-kriterier;Anzahl der Tage, an denen die Hutton-Kriterien überschritten wurden.
adas.dss.0_0_4.models.PHYTIN.output.result_parameters.Criteria_Exceedance.title;Number of days exceeding the Hutton Criteria.;Antal dage der overskrider Hutton-kriterier;Anzahl der Tage, an denen die Hutton-Kriterien überschritten wurden.
adas.dss.0_0_4.models.PHYTIN.output.warning_status_interpretation.0.explanation;;;
adas.dss.0_0_4.models.PHYTIN.output.warning_status_interpretation.0.recommended_action;;;
adas.dss.0_0_4.models.PHYTIN.output.warning_status_interpretation.1.explanation;Missing data.;Manglende data;Fehlende Daten.
adas.dss.0_0_4.models.PHYTIN.output.warning_status_interpretation.1.recommended_action;Review error message.;Gennemse fejlmeddelelse.;Überprüfen Sie die Fehlermeldung.
adas.dss.0_0_4.models.PHYTIN.output.warning_status_interpretation.2.explanation;Based on current weather data, the model indicates low blight risk. The risk will be updated each day as more weather data becomes available.;Baseret på aktuelle vejrdata indikerer modellen lav risiko for skimmel. Risikoen vil blive opdateret hver dag, efterhånden som flere vejrdata bliver tilgængelige.;Auf der Grundlage der aktuellen Wetterdaten zeigt das Modell ein geringes Infektionsrisiko an. Das Risiko wird  mit den fortlaufenden Wetterdaten täglich neu aktualisiert.
adas.dss.0_0_4.models.PHYTIN.output.warning_status_interpretation.2.recommended_action;This model runs during the potato growng season. Continue to check for risk updates  and monitor crops for late blight.;Denne model kører i kartoffelsæsonen. Fortsæt med at kontrollere for risikoopdateringer og overvåg afgrøder for skimmel.;Dieses Modell läuft während der Kartoffelanbausaison. Achten Sie weiterhin auf die  Risiko-Neuberechnungen und überwachen Sie die Bestände auf Kraut- und Knollenfäule.
adas.dss.0_0_4.models.PHYTIN.output.warning_status_interpretation.3.explanation;;;
adas.dss.0_0_4.models.PHYTIN.output.warning_status_interpretation.3.recommended_action;;;
adas.dss.0_0_4.models.PHYTIN.output.warning_status_interpretation.4.explanation;Based on current weather data, the model indicates high blight risk. The risk will be updated each day as more weather data becomes available.;Baseret på aktuelle vejrdata indikerer modellen høj risiko for skimmel. Risikoen vil blive opdateret hver dag, efterhånden som flere vejrdata bliver tilgængelige.;Auf der Grundlage der aktuellen Wetterdaten zeigt das Modell ein hohes Infektionsrisiko an. Das Risiko wird  mit den fortlaufenden Wetterdaten täglich neu aktualisiert.
adas.dss.0_0_4.models.PHYTIN.output.warning_status_interpretation.4.recommended_action;This model runs during the potato growing season. Weather conditions are currently suitable for potato late blight outbreaks. Monitor potato crops and apply fungicide treatments against late blight, according to need.;Denne model kører i kartoffelvækstsæsonen. Vejrforholdene er i øjeblikket velegnede for udbrud af kartoffelskimmel. Overvåg kartoffelafgrøder og anvend fungicidbehandlinger mod skimmel efter behov.;Dieses Modell läuft während der Kartoffelanbausaison. Die Wetterbedingungen sind derzeit günstig für den Ausbruch der Kraut- und Knollenfäule. Überwachen Sie die Kartoffelbestände und wenden Sie je nach Bedarf Fungizidbehandlungen gegen Kraut- und Knollenfäule an.
adas.dss.0_0_4.models.PHYTIN.purpose;Estimates risk of late blight;Estimerer risiko for kartoffelskimmel;Schätzt das Risiko der Kraut- und Knollenfäule ein
adas.dss.0_0_4.models.RHOPPA.description;"THE PEST: Aphids can transmit barley/cereal yellow dwarf viruses (BYDV). Initially, aphids colonise relatively few crop plants. However, the second-generation tends to move away from the plant originally colonised. Controlling this generation is a key part of a BYDV management strategy.

THE DECISION: This DSS indicates the best time to monitor crops for aphids. If infestations are high, and non-chemical control options are unlikely to prevent second generation emergence, treatment should be considered to limit the spread of the virus.
THE MODEL: The second generation is likely to be present when the accumulated daily air temperatures, above a baseline temperature of 3ºC, reaches T-Sum 170. 
THE PARAMETERS: The model uses Date of last spray application, daily temperature
REGION: This DSS was adapted from work carried out in the UK, and is considered applicable, but not yet validated in, Belgium, Luxembourg, Netherlands, France, Germany, Rep. Ireland, and Denmark.
ASSUMPTIONS: This DSS assumes that the user will update the date of last insecticide applications. Its also assumes that no aphids found or insecticide treatment applied at 170DD, and restarts calculations. 2nd generation development time is consistent across regions.  
REFERENCE: UK Agricultural and Horticultural Development Board (2022). https://ahdb.org.uk/bydv ";"SKADEDYRET: Bladlus kan overføre havrerødsot (BYDV). I første omgang koloniserer bladlus relativt få planter. Anden generation har imidlertid en tendens til at bevæge sig væk fra den plante, der oprindeligt blev koloniseret. Styring af denne generation er en vigtig del af i håndteringen af havrerødsot. 

BESLUTNING: Denne DSS angiver det bedste tidspunkt at overvåge afgrøder for bladlus. Hvis angrebene er store, og det er usandsynligt, at ikke-kemiske bekæmpelsesmuligheder vil forhindre en andengeneration, bør behandling overvejes for at begrænse spredningen af virus. 
MODELLEN: Anden generation vil sandsynligvis være til stede, når de akkumulerede daglige lufttemperaturer, over en basistemperatur på 3ºC, når T-Sum 170. 
PARAMETRENE: Modellen bruger Dato for sidste sprøjtning og dagstemperatur.
REGION: Denne DSS blev tilpasset fra arbejde udført i Storbritannien og anses for at være relevant, men endnu ikke valideret i Belgien, Luxembourg, Holland, Frankrig, Tyskland, Irland og Danmark
ANTAGELSER: Denne DSS forudsætter, at brugeren opdaterer datoen for de sidste insekticidapplikationer. Det antages også, at der ikke findes bladlus eller insekticidbehandling anvendes ved 170DD, og genstarter beregningerne. 2. generations udviklingstid er ensartet på tværs af regioner. 
REFERENCE: UK Agricultural and Horticultural Development Board (2022). https://ahdb.org.uk/bydv";"SCHADERREGER: Blattläuse können Gersten-/Getreidegelbverzwergungsviren (BYDV) übertragen. Anfänglich besiedeln Blattläuse nur relativ wenige Kulturpflanzen. Die zweite Generation neigt jedoch dazu, sich von der ursprünglich besiedelten Pflanze zu entfernen. Die Bekämpfung dieser Generation ist ein wichtiger Bestandteil einer Strategie zur BYDV-Kontrolle.

ENTSCHEIDUNG: Das EHS gibt den besten Zeitpunkt für die Überwachung der Bestände auf Blattläuse an. Wenn der Befall hoch ist und es unwahrscheinlich ist, dass nicht-chemische Bekämpfungsmaßnahmen das Auftreten der zweiten Generation verhindern können, sollte eine Behandlung in Betracht gezogen werden, um die Ausbreitung des Virus zu begrenzen.
MODELL: Das Auftreten der zweiten Generation ist wahrscheinlich, wenn die kumulierten täglichen Lufttemperaturen über einer Basistemperatur von 3 ºC den Wert T-Sum 170 erreichen.  
PARAMETER: Das Modell verwendet die Tagestemperatur, sowie das Datum der letzten Insektizidananwendung 
REGION: Das EHS basiert auf Arbeiten, die im Vereinigten Königreich durchgeführt wurden und gilt als anwendbar, wurde aber z.B. noch nicht in Belgien, Luxemburg, den Niederlanden, Frankreich, Deutschland, der Republik Irland und Dänemark validiert.
ANNAHMEN: Das EHS geht davon aus, dass der Benutzer das Datum der letzten Insektizidanwendungen aktualisiert. Außerdem wird davon ausgegangen, dass bei 170 Gradtagen keine Blattläuse gefunden und keine Insektizidbehandlung durchgeführt wurde, und die Berechnungen erneut gestartet werden. Die Entwicklungszeit der 2. Generation ist in allen Regionen gleich.  
 REFERENZ: UK Agricultural and Horticultural Development Board (2022). https://ahdb.org.uk/bydv "
adas.dss.0_0_4.models.RHOPPA.execution.input_schema.properties.modelId.description;Must be RHOPPA;Skal være RHOPPA;Muss RHOPPA sein
adas.dss.0_0_4.models.RHOPPA.execution.input_schema.properties.modelId.title;Model Id;Model-id;Modell-ID
adas.dss.0_0_4.models.RHOPPA.execution.input_schema.properties.optionalData.properties.dateOfLastSpray.title;Date of Last Spray (YYYY-MM-DD);Dato for seneste sprøjtning (ÅÅÅÅ-MM-DD);Datum der letzten Behandlung (JJJJ-MM-TT)
adas.dss.0_0_4.models.RHOPPA.execution.input_schema.properties.optionalData.properties.endDate.title;Model End Date/Growth Stage 31 (YYYY-MM-DD);Model Slutdato/vækststadie 31 (ÅÅÅÅ-MM-DD);Modell-Enddatum/BBCH 31 (JJJJ-MM-TT)
adas.dss.0_0_4.models.RHOPPA.execution.input_schema.properties.optionalData.properties.startDate.title;Model Start Date/Emergence Date (YYYY-MM-DD);Model Startdato/Fremkomstdato (ÅÅÅÅ-MM-DD);Modell Startdatum/Auflaufdatum (JJJJ-MM-TT)
adas.dss.0_0_4.models.RHOPPA.execution.input_schema.properties.optionalData.title;Optional parameters for the DSS;Valgfrie parametre for DSS;Optionale Parameter für den EHS
adas.dss.0_0_4.models.RHOPPA.name;BYDV TSUM model;Havrerødsot TSUM model;BYDV TSUM-Modell
adas.dss.0_0_4.models.RHOPPA.output.chart_groups.G1.title;TSUM;TSUM;TSUM
adas.dss.0_0_4.models.RHOPPA.output.chart_groups.G2.title;Proportion of Day;Andel af dag;Anteil der Tage
adas.dss.0_0_4.models.RHOPPA.output.chart_heading;TSUM Model;TSUM Model;TSUM-Modell
adas.dss.0_0_4.models.RHOPPA.output.result_parameters.Baseline.description;;;
adas.dss.0_0_4.models.RHOPPA.output.result_parameters.Baseline.title;;;
adas.dss.0_0_4.models.RHOPPA.output.result_parameters.Proportion_1.description;Proportion of day where temperature exceeds 11 degrees C;Andel af dagen, hvor temperaturen overstiger 11 grader C;Anteil der Tage, an denen die Temperatur 11 °C überschreitet
adas.dss.0_0_4.models.RHOPPA.output.result_parameters.Proportion_1.title;Proportion of day where temperature exceeds 11 degrees C;Andel af dagen, hvor temperaturen overstiger 11 grader C;Anteil der Tage, an denen die Temperatur 11 °C überschreitet
adas.dss.0_0_4.models.RHOPPA.output.result_parameters.Proportion_2.description;Proportion of day where temperature was below 6 degrees C;Andel af dagen, hvor temperaturen var under 6 grader C;Anteil der Tage, an denen die Temperatur unter 6 °C lag
adas.dss.0_0_4.models.RHOPPA.output.result_parameters.Proportion_2.title;Proportion of day where temperature was below 6 degrees C;Andel af dagen, hvor temperaturen var under 6 grader C;Anteil der Tage, an denen die Temperatur unter 6 °C lag
adas.dss.0_0_4.models.RHOPPA.output.result_parameters.Proportion_3.description;Proportion of day where temperature was below 3 degrees C;Andel af dagen, hvor temperaturen var under 3 grader C;Anteil der Tage, an denen die Temperatur unter 3 °C lag
adas.dss.0_0_4.models.RHOPPA.output.result_parameters.Proportion_3.title;Proportion of day where temperature was below 3 degrees C;Andel af dagen, hvor temperaturen var under 3 grader C;Anteil der Tage, an denen die Temperatur unter 3 °C lag
adas.dss.0_0_4.models.RHOPPA.output.result_parameters.T-Sum.description;Cumulative day degrees over 3 degrees celsius.;Kumulative graddage over 3 grader celsius.;Kumulative Gradtage über 3 °C.
adas.dss.0_0_4.models.RHOPPA.output.result_parameters.T-Sum.title;T-Sum;T-sum;T-Summe
adas.dss.0_0_4.models.RHOPPA.output.result_parameters.ThresholdLine.description;Winged aphids likely to emerge;Vingede bladlus fremkommer sandsynligvis;Geflügelte Blattläuse werden wahrscheinlich auftreten
adas.dss.0_0_4.models.RHOPPA.output.result_parameters.ThresholdLine.title;Winged aphids likely to emerge;Vingede bladlus fremkommer sandsynligvis;Geflügelte Blattläuse werden wahrscheinlich auftreten
adas.dss.0_0_4.models.RHOPPA.output.warning_status_interpretation.0.explanation;;;
adas.dss.0_0_4.models.RHOPPA.output.warning_status_interpretation.0.recommended_action;;;
adas.dss.0_0_4.models.RHOPPA.output.warning_status_interpretation.1.explanation;Missing data.;Manglende data.;Fehlende Daten.
adas.dss.0_0_4.models.RHOPPA.output.warning_status_interpretation.1.recommended_action;Review error message.;Gennemse fejlmeddelelse.;Überprüfen Sie die Fehlermeldung.
adas.dss.0_0_4.models.RHOPPA.output.warning_status_interpretation.2.explanation;Based on current data available, the model results indicate low current risk of winged aphids spreading BYDV in crops. Day degrees from establishment/last treatment is below 50.;Baseret på de foreliggende data, indikerer modelresultaterne lav aktuel risiko for vingede bladlus, der spreder havrerødsot (BYDV) i afgrøder. Graddage fra etablering/sidste behandling er under 50.;Auf der Grundlage der derzeit verfügbaren Daten deuten die Modellergebnisse darauf hin, dass das Risiko der Ausbreitung von BYDV durch geflügelte Blattläuse in den Beständen derzeit gering ist. Die Gradtage ab Auflauf/letzter Behandlung liegen unter 50.
adas.dss.0_0_4.models.RHOPPA.output.warning_status_interpretation.2.recommended_action;This model runs September - March. Update parameters when any insecticide applications are made.;Denne model kører september - marts. Opdater parametre, når der foretages insekticidapplikationer.;Dieses Modell läuft von September bis März. Aktualisieren Sie die Parameter, wenn Insektizidanwendungen durchgeführt werden.
adas.dss.0_0_4.models.RHOPPA.output.warning_status_interpretation.3.explanation;Based on current data available, conditions are between 50-100. day-degrees over a base of 3*C.;Baseret på de aktuelle tilgængelige data er betingelserne mellem 50-100. daggrader over en base på 3 grader C.;Auf der Grundlage der derzeit verfügbaren Daten liegen die Bedingungen zwischen 50 und 100 Gradtagen bei einer Basis von 3 °C.
adas.dss.0_0_4.models.RHOPPA.output.warning_status_interpretation.3.recommended_action;The risk of winged aphids being present in the crop is increasing, and may occur in following 3-5 days. The 'TSUM' chart indicates that the accumulated degrees over 3*C since crop emergence or last insecticide spray is approaching 170 degrees, which is associated with the emergence of winged aphids that act as vectors for BYDV.  Increasing monitoring efforts in vulnerable crops, and apply suitable treatment according to need. Update parameters when any insecticide applications are made.The model assumes no aphids found or insecticide treatment applied at 170DD, and restarts calculations. ;Risikoen for, at vingede bladlus er til stede i afgrøden, er stigende og kan forekomme i de følgende 3-5 dage. 'TSUM'-diagrammet indikerer, at de akkumulerede grader over 3 * C siden afgrødens fremkomst eller sidste insekticidspray nærmer sig 170 grader, hvilket er forbundet med fremkomsten af vingede bladlus, der fungerer som vektorer for havrerødsot (BYDV). Øg overvågningsindsatsen i sårbare afgrøder og anvend passende behandling efter behov. Opdater parametre, når der foretages insekticidapplikationer. Modellen antager, at der ikke findes bladlus eller insekticidbehandling anvendes ved 170DD, og genstarter beregningerne.;Das Risiko, dass geflügelte Blattläuse im Bestand vorhanden sind, steigt und kann in den nächsten 3-5 Tagen zutreffen. Das TSUM-Diagramm zeigt, dass die akkumulierten Temperaturen über 3 °C seit dem Auflaufen des Bestandes oder der letzten Insektizidspritzung sich 170 °nähern, was mit dem Auftreten von geflügelten Blattläusen einhergeht, die als Vektoren für BYDV fungieren.  Verstärkung der Überwachung in gefährdeten Beständen und Anwendung geeigneter Behandlungen je nach Bedarf.Das Modell geht davon aus, dass bei 170 Gradtagen keine Blattläuse gefunden und keine Insektizidbehandlung durchgeführt wurde und beginnt die Berechnungen erneut.
adas.dss.0_0_4.models.RHOPPA.output.warning_status_interpretation.4.explanation;Based on current data available, conditions have reached or are above 100 day-degrees over a base of 3*C.;Baseret på de aktuelle tilgængelige data har forholdene nået eller er over 100 daggrader over en base på 3 grader C.;Auf der Grundlage der aktuell verfügbaren Daten haben die Bedingungen 100 Gradtagen über einer Basis von 3 °C erreicht oder liegen darüber.
adas.dss.0_0_4.models.RHOPPA.output.warning_status_interpretation.4.recommended_action;The risk of winged aphids being present in the crop is high, winged aphids likely to be present in crop in coming days. The 'TSUM' chart indicates that the accumulated degrees over 3*C since crop emergence or last insecticide spray is approaching 170 degrees, which is associated with the emergence of winged aphids that act as vectors for BYDV. Monitor vulnerable crops for in-field activity and apply suitable treatments according to need. Update parameters when any insecticide applications are made. The model assumes no aphids found or insecticide treatment applied at 170DD, and restarts calculations. ;Risikoen for, at vingede bladlus er til stede i afgrøden, er høj, vingede bladlus, der sandsynligvis vil være til stede i afgrøden i de kommende dage. 'TSUM'-diagrammet indikerer, at de akkumulerede grader over 3 grader C siden afgrødens fremkomst eller sidste insekticidspray nærmer sig 170 grader, hvilket er forbundet med fremkomsten af vingede bladlus, der fungerer som vektorer for havrerødsot (BYDV). Overvåg aktivitet i marken i sårbare afgrøder, og anvend passende behandlinger efter behov. Opdater parametre, når der foretages insekticidapplikationer. Modellen antager, at der ikke findes bladlus eller insekticidbehandling anvendes ved 170DD, og genstarter beregningerne.;Das Risiko, dass geflügelte Blattläuse im Bestand vorhanden sind, ist hoch, und geflügelte Blattläuse werden wahrscheinlich in den kommenden Tagen im Bestand auftreten. Das TSUM-Diagramm zeigt an, dass die akkumulierten Temperaturen über 3 °C seit dem Auflaufen oder der letzten Insektizidspritzung sich 170 Grad nähern, was mit dem Auftreten von geflügelten Blattläusen einhergeht, die als Vektoren für BYDV fungieren. Überwachen Sie gefährdete Bestände auf Aktivität im Feld und wenden Sie je nach Bedarf geeignete Behandlungen an. Aktualisieren Sie die Parameter, wenn Insektizidanwendungen durchgeführt werden. Das Modell geht davon aus, dass bei 170 Gradtagen keine Blattläuse gefunden und keine Insektizidbehandlung durchgeführt wurde und beginnt die Berechnungen erneut. 
adas.dss.0_0_4.models.RHOPPA.purpose;Estimates risk of transmission of virus by aphid vectors;Estimerer risikoen for overførsel af virus med bladlusvektorer;Schätzt das Risiko einer Virusübertragung durch Blattlausvektoren
adas.dss.0_0_4.models.SITDMO.description;"THE PEST: Orange wheat blossom midge larvae feed on developing grains, causing grains to become small and shrivelled. They can also damage the outer grain layer (pericarp), allowing water to enter. This can make the grain vulnerable to fungal infection (e.g. fusarium and septoria) and result in premature sprouting. Seed from infected crops is also associated with poor germination. Susceptible crops are at the highest risk when adult midge emergence coincides with ear emergence, particularly growth stages 53–59. Larvae that hatch after flowering do not develop properly and cause little damage.  

THE DECISION: The model predicts the emergence of adults and associated migration of females into vulnerable crops, when increased monitoring and/or treatment may be appropriate.
THE MODEL: It uses daily temperature (degrees celsius) and rainfall (mm) data to identify   emergence in the Orange Wheat Blossom Midge. The model  runs between the months May and June, but requires weather data from the 1st of January. The model runs in three phases: Phase 1: temperature accumulation of 250 degree days above 3 degrees from 1st January.  Phase 2 (Low risk): Lasts until the rise in mean daily temperature to 13 degrees followed by rainfall. During Phase 1 and 2, there is a low risk of emergence. Phase 3: temperature accumulation of 160 degree days above 7 degrees. During phase 3, there is a medium risk of emergence. Upon completion of phase 3 the risk is considered high for three days and a date of emergence is predicted, which will be reported in the platform. Multiple emergence dates are possible, leading to extended periods of high risk.
THE PARAMETERS: The model uses Daily temperature and rainfall
REGION: This DSS was adapted from work carried out in Belgium, and is considered to be applicable, but yet to be validated in, the UK,  Luxembourg, Netherlands, France, Germany, Denmark.
ASSUMPTIONS: This DSS assumes that the crop variety use is vulnerable to damage by orange wheat blossom midge, and that the user will interpret the risk against the vulnerability of the crop growth stage on farm.
REFERENCE: Jocquemin et al. (2014) Crop Protection 58, 6-13. https://doi.org/10.1016/j.cropro.2013.12.021 ";"SKADEDYRET: Orangegul hvedegalmyg-larver lever af korn i udvikling, hvilket får korn til at blive små og skrumpede. De kan også beskadige det ydre kornlag (pericarp), så vand kan komme ind. Dette kan gøre kornet sårbart over for svampeinfektion (f.eks. Fusarium og septoria) og resultere i for tidlig spiring. Frø fra inficerede afgrøder er også forbundet med dårlig spiring. Modtagelige afgrøder har den højeste risiko, når fremkomsten af voksne galmyg falder sammen med skridning, især vækststadier 53-59. Larver, der klækkes efter blomstring, udvikler sig ikke ordentligt og forårsager kun lidt skade. 
BESLUTNING: Modellen forudsiger fremkomsten af voksne og tilhørende migration af hunner til sårbare afgrøder, når øget overvågning og / eller behandling kan være hensigtsmæssig. 
MODELLEN: Modellen bruger daglig temperaturdata (grader celsius) og nedbør (mm) til at identificere fremkomstenaf orangegul hvedegalmyg. Modellen kører mellem maj og juni, men kræver vejrdata fra 1. januar. Modellen kører i tre faser: Fase 1: temperaturophobning på 250 grader over 3 grader fra 1. januar. Fase 2 (Lav risiko): Varer indtil stigningen i den gennemsnitlige dagtemperatur til 13 grader efterfulgt af nedbør. I fase 1 og 2 er der en lav risiko for fremkomst. Fase 3: temperaturakkumulering på 160 grader, dage over 7 grader. I fase 3 er der en medium risiko for fremkomst. Efter afslutningen af fase 3 betragtes risikoen som høj i tre dage, og der forudsiges en dato for fremkomsten, som vil blive rapporteret i platformen. Flere fremkomstdatoer er mulige, hvilket fører til længere perioder med høj risiko. 
PARAMETRE: Modellen bruger daglig temperatur og nedbør 
REGION: Denne DSS er tilpasset fra arbejde udført i Belgien og anses for at være relevant, men er endnu ikke valideret i Storbritannien, Luxembourg, Holland, Frankrig, Tyskland, Danmark.
ANTAGELSER: Denne DSS antager, at brugen af afgrødesorter er sårbar over for skader fra orangegul hvedegalmyg, og at brugeren vil fortolke risikoen mod sårbarheden af afgrødevækststadiet på bedriften. 
REFERENCE: Jocquemin et al. (2014) Crop Protection 58, 6-13. https://doi.org/10.1016/j.cropro.2013.12.021 ";"SCHADERREGER: Die Larven der Orangeroten Weizengallmücke ernähren sich von den sich entwickelnden Körnern, wodurch diese klein und schrumpelig werden. Sie können auch die äußere Kornschicht (Perikarp) beschädigen, wodurch Wasser eindringen kann. Dies kann die Körner anfällig für Pilzinfektionen (z. B. Fusarium und Septoria) machen und zu einem vorzeitigen Austrieb führen. Saatgut von infizierten Beständen keimt ebenfalls schlecht. Anfällige Kulturen sind am stärksten gefährdet, wenn das Auftreten der erwachsenen Mücken mit dem Ährenschieben zusammenfällt, insbesondere in den Wachstumsstadien 53-59. Larven, die nach der Blüte schlüpfen, entwickeln sich nicht richtig und verursachen kaum Schäden.  

ENTSCHEIDUNG: Das Modell prognostiziert das Auftreten der erwachsenen Mücken und den damit verbundenen Zuflug der Weibchen in gefährdete Bestände, womit eine verstärkte Überwachung und/oder Behandlung angebracht sein kann. 
MODELL: Es verwendet tägliche Temperatur- (°C) und Niederschlagsdaten (mm), um das Auftreten der Orangeroten Weizengallmücke zu ermitteln. Das Modell läuft in den Monaten Mai und Juni, benötigt aber Wetterdaten ab dem 1. Januar. Das Modell läuft in drei Phasen ab: Phase 1: Temperaturakkumulation von 250 Gradtagen über 3 Grad ab dem 1. Januar.  Phase 2 (geringes Risiko): Dauert bis zum Anstieg der Tagesmitteltemperatur auf 13 Grad, gefolgt von Niederschlägen. Während der Phasen 1 und 2 besteht ein geringes Risiko des Auftretens. Phase 3: Temperaturakkumulation von 160 Gradtagen über 7 Grad. Während der Phase 3 besteht ein mittleres Risiko des Auftretens. Nach Abschluss von Phase 3 wird das Risiko für drei Tage als hoch eingestuft, und es wird ein Auftretensdatum vorhergesagt, das auf der Plattform gemeldet wird. Es sind mehrere Auftretensdaten möglich, was zu längeren Zeiträumen mit hohem Risiko führt. 
PARAMETER: Das Modell verwendet die Tagestemperatur und die Niederschlagsmenge 
REGION: Das EHS basiert auf Arbeiten, die in Belgien durchgeführt wurden und gilt als anwendbar, muss aber z.B. noch in Großbritannien, Luxemburg, den Niederlanden, Frankreich, Deutschland und Dänemark validiert werden.
ANNAHMEN: Das EHS geht davon aus, dass die verwendete Pflanzensorte anfällig für Schäden durch die Orangerote Weizengallmücke ist, und dass der Benutzer das Risiko in Bezug zur Anfälligkeit des Wachstumsstadiums der Pflanze im Betrieb interpretiert.
REFERENZ: Jocquemin et al. (2014) Crop Protection 58, 6-13. https://doi.org/10.1016/j.cropro.2013.12.021 "
adas.dss.0_0_4.models.SITDMO.execution.input_schema.properties.modelId.description;Must be SITDMO;Skal være SITDMO;Muss SITDMO sein
adas.dss.0_0_4.models.SITDMO.execution.input_schema.properties.modelId.title;Model Id;Model-id;Modell-ID
adas.dss.0_0_4.models.SITDMO.execution.input_schema.properties.optionalData.properties.DD1.title;Degree Day Threshold Phase 1;Graddage tærskel fase 1;Schwellenwert Gradtage Phase 1
adas.dss.0_0_4.models.SITDMO.execution.input_schema.properties.optionalData.properties.DD3.title;Degree Day Threshold Phase 3;Graddage tærskel fase 3;Schwellenwert Gradtage Phase 3
