KEY;default;de;sl;nl;dk;se;gr;no;fr;fi;lt;it;pl;es;pt
dk.seges.1_1.models.CPO_TRZAX_1APHIF.output.warning_status_interpretation.4.explanation;Based on your observations of the frequency of plants infected with aphids, crop growth stages and previous spray dates, the risk of aphids is high. Go to 'Edit  parameters' to check and update growth stages and spray dates. This model runs March to July.
dk.seges.1_1.models.CPO_TRZAX_1APHIF.output.warning_status_interpretation.4.recommended_action;If the crop has not been treated against aphids in the last ten days, treat according to need. Continue to check for risk updates and monitor crops. Update crop growth stage and date of insecticide applications through the season  
dk.seges.1_1.models.CPO_TRZAX_1APHIF.purpose;Predicts the need for treatment against aphids in wheat
dk.seges.1_1.models.CPO_TRZAX_ERYSGR.description;"THE PEST: powdery mildew (Blumeria graminis) is known to attack wheat  
THE DECISION: Fungicide treatments may need to be applied between late tillering (GS 29)  and before heading (GS 40), to protect leaves from attack of powdery mildew and yield losses. 
THE MODEL: The CPO powdery mildew model is recommending treatments in wheat when thresholds are exceeded.  The risk of attack is based on visual monitoring using frequency of plants attacked.  The disease observation is the percentage of plants showing any infection.  For example, if 25 plants out of 100 show even a very small amount of disease and the remaining 80 plants are completely healthy, then the observation is 25%. In susceptible cultivars treatments are recommended at lower incidence levels than in resistant cultivars.  If a green color appears then no action is needed, yellow means that a limited risk is recognized, while red indicates that action is recommended.  If treatments are recommended specific fungicides known to be effective against this disease should be chosen.  When running the powdery mildew model the risk for yield losses from other diseases is not considered.   If no action is recommended it is advised to revisit the crop after approximately one week to make a new evaluation of the risk. 
THE PARAMETERS  To obtain accurate risk  predictions it is essential to click on the 'Edit parameters' button and enter information on the cultivar's susceptibility to powdery mildew.  Only two categories are used susceptible and resistant, if a cultivar is categorised as partly resistant, we recommend that it is considered as susceptible.  Enter the specific growth stages at the time when the crop monitoring was done.  Enter information on the incidence of attacked plants by powdery mildew based on scouting the crop.  Between GS  29-31 infection on whole plants should be assessed. Between GS 32 and 40 assessments should only be done on 3 upper leaves.  Entering information on last fungicide spray dates is vital for the model. This is also done in 'Edit parameters'.   Clicking on 'Save' will keep the observations entered and update the risk.  After spraying, the model assumes that the crop is protected for  14 days if a broad spectrum fungicide has been applied.
SOURCE: Created by Aarhus University and SEGES and released in Denmark in 2000. The whole CPO model has been tested in the Nordic and Baltic countries previously, but this might not have included testing of the specific powdery mildew part.   The model may be of use in other countries in Northern Europe."
dk.seges.1_1.models.CPO_TRZAX_ERYSGR.execution.input_schema.properties.CropId.title;Wheat (spring wheat)
dk.seges.1_1.models.CPO_TRZAX_ERYSGR.execution.input_schema.properties.GrowthStage.title;Current growth stage (BBCH code)
dk.seges.1_1.models.CPO_TRZAX_ERYSGR.execution.input_schema.properties.Severity.title;Severity (% infected plants)
dk.seges.1_1.models.CPO_TRZAX_ERYSGR.execution.input_schema.properties.Susceptibility.title;Susceptibility of the variety to mildew
dk.seges.1_1.models.CPO_TRZAX_ERYSGR.name;CPO model for mildew in wheat
dk.seges.1_1.models.CPO_TRZAX_ERYSGR.output.chart_heading;
dk.seges.1_1.models.CPO_TRZAX_ERYSGR.output.result_parameters.TREATMENT_ID.description;The CPO's traffic light counterpart. 0 = No need for treatment. 1 = Treat if other problem needs treatment. 2 = Treat if other problem has treatmentId = 2 3 = Need for treatment
dk.seges.1_1.models.CPO_TRZAX_ERYSGR.output.result_parameters.TREATMENT_ID.title;The risk assessment
dk.seges.1_1.models.CPO_TRZAX_ERYSGR.output.warning_status_interpretation.0.explanation;No warning/out of season
dk.seges.1_1.models.CPO_TRZAX_ERYSGR.output.warning_status_interpretation.0.recommended_action;No action needed
dk.seges.1_1.models.CPO_TRZAX_ERYSGR.output.warning_status_interpretation.1.explanation;Missing data
dk.seges.1_1.models.CPO_TRZAX_ERYSGR.output.warning_status_interpretation.1.recommended_action;Consult your advisory service
dk.seges.1_1.models.CPO_TRZAX_ERYSGR.output.warning_status_interpretation.2.explanation;Based on your observations of the frequency of plants infected with powdery mildew (Percentage of plants showing infection), crop growth stages and spray dates, the risk of mildew is low.  Go to 'Edit parameters' to check and update disease observations, growth stages and spray dates. This model runs March to June.  
dk.seges.1_1.models.CPO_TRZAX_ERYSGR.output.warning_status_interpretation.2.recommended_action;Continue to monitor crops and update crop growth stage and date of fungicide applications through the season
dk.seges.1_1.models.CPO_TRZAX_ERYSGR.output.warning_status_interpretation.3.explanation;Based on your observations of the frequency of plants infected with powdery mildew (Percentage of plants showing infection), crop growth stages and spray dates, the risk of powdery mildew is moderate. Go to 'Edit parameters' to check and update growth stages and spray dates.  This model runs March-June. 
dk.seges.1_1.models.CPO_TRZAX_ERYSGR.output.warning_status_interpretation.3.recommended_action;If the threshold for powdery mildew is not exceeded, but other diseases are assessed to also cause a risk and the crop has not been treated in the last ten days, choose an effective fungicide, which also controls powdery mildew. Continue to check for risk updates and monitor crops. Update crop growth stage and date of fungicide applications through the season 
dk.seges.1_1.models.CPO_TRZAX_ERYSGR.output.warning_status_interpretation.4.explanation;Based on your observations of the frequency of plants infected with powdery mildew (Percentage of plants showing infection), crop growth stages and previous spray dates, the risk of mildew is high. Go to 'Edit parameters' to check and update growth stages and spray dates. This model runs March to June. 
dk.seges.1_1.models.CPO_TRZAX_ERYSGR.output.warning_status_interpretation.4.recommended_action;If the crop has not been treated against powdery mildew in the last ten days, treat according to need. Apart from effectiveness on powdery mildew the choice of fungicide product should also account for risks of other diseases. Continue to check for risk updates and monitor crops. Update crop growth stage and  date of fungicide applications through the season  
dk.seges.1_1.models.CPO_TRZAX_ERYSGR.purpose;Predicts the need for treatment against mildew in wheat
dk.seges.1_1.models.CPO_TRZAX_PUCCRE.description;"THE PEST: Brown rust (Puccinia triticina ) is known to attack wheat

THE DECISION: Fungicide treatments may need to be applied between start of elongation  (GS 30)  and beginning of grain filling (GS 71), to protect leaves from attack of brown rust and yield losses.  THE MODEL: The CPO brown rust model is recommending treatments in wheat when thresholds are exceeded.  The risk of attack is based on visual monitoring using frequency of plants attacked.  The disease observation is the percentage of plants showing any infection.  For example, if 25 plants out of 100 show even a very small amount of disease and the remaining 80 plants are completely healthy, then the observation is 25%). In susceptible cultivars treatments are recommended at lower incidence levels than in resistant cultivars. If a green color appears then no action is needed, yellow means that a limited risk is recognized, while red indicates that action is recommended.  If treatments are recommended specific fungicides known to be effective against this brown rust  should be chosen.  When running the brown rust model the risk for yield losses from other diseases is not considered.  If no action is recommended it is advised to revisit the crop after approximately one week to make a new evaluation of the risk. 

THE PARAMETERS: To obtain accurate risk predictions it is essential to click on the 'Edit parameters' button and enter information on the cultivar's susceptibility to brown rust. Only two categories are used susceptible and resistant,  if a cultivar is categorised as partly
resistant, it is recommended to consider it as susceptible.  Enter the specific growth stages at the time when the crop monitoring was done.  Enter information on the incidence of attacked plants by brown rust based on scouting the crop. Between GS 30-31 whole crop should be assessed. Between GS 32 and 65 assessments should be based only on 3 upper leaves. Enter information on last fungicide spray dates is vital for the model. This is also  done in 'Edit parameters'.  Clicking on 'Save' will keep the observations  entered and update the risk.   After spraying, the model assumes that the crop is protected for 14 days if a broad spectrum fungicide has been applied.

SOURCE: Created by Aarhus University and SEGES and released in Denmark in 2000. The whole CPO model has been tested in the Nordic and Baltic countries previously, but this might not have included testing of the specific powdery mildew part.   The model may be of use in other countries in Northern Europe."
dk.seges.1_1.models.CPO_TRZAX_PUCCRE.execution.input_schema.properties.CropId.title;Wheat (spring wheat)
dk.seges.1_1.models.CPO_TRZAX_PUCCRE.execution.input_schema.properties.GrowthStage.title;Current growth stage (BBCH code)
dk.seges.1_1.models.CPO_TRZAX_PUCCRE.execution.input_schema.properties.Severity.title;Severity (% infected plants)
dk.seges.1_1.models.CPO_TRZAX_PUCCRE.execution.input_schema.properties.Susceptibility.title;Susceptibility of the variety to brown rust
dk.seges.1_1.models.CPO_TRZAX_PUCCRE.name;CPO model for brown rust in wheat
dk.seges.1_1.models.CPO_TRZAX_PUCCRE.output.chart_heading;
dk.seges.1_1.models.CPO_TRZAX_PUCCRE.output.result_parameters.TREATMENT_ID.description;The CPO's traffic light counterpart. 0 = No need for treatment. 1 = Treat if other problem needs treatment. 2 = Treat if other problem has treatmentId = 2 3 = Need for treatment
dk.seges.1_1.models.CPO_TRZAX_PUCCRE.output.result_parameters.TREATMENT_ID.title;The risk assessment
dk.seges.1_1.models.CPO_TRZAX_PUCCRE.output.warning_status_interpretation.0.explanation;No warning/out of season
dk.seges.1_1.models.CPO_TRZAX_PUCCRE.output.warning_status_interpretation.0.recommended_action;No action needed
dk.seges.1_1.models.CPO_TRZAX_PUCCRE.output.warning_status_interpretation.1.explanation;Missing data
dk.seges.1_1.models.CPO_TRZAX_PUCCRE.output.warning_status_interpretation.1.recommended_action;Consult your advisory service
dk.seges.1_1.models.CPO_TRZAX_PUCCRE.output.warning_status_interpretation.2.explanation;Based on your observations of the frequency of plants infected with brown rust  (Percentage of plants showing infection), crop growth stages and spray dates, the risk of brown rust is low.  Go to 'Edit parameters' to check and update disease observations, growth stages and spray dates. This model runs March to June.  
dk.seges.1_1.models.CPO_TRZAX_PUCCRE.output.warning_status_interpretation.2.recommended_action;Continue to monitor crops and update crop growth stage and date of fungicide applications through the season
dk.seges.1_1.models.CPO_TRZAX_PUCCRE.output.warning_status_interpretation.3.explanation;Based on your observations of the frequency of plants infected with brown rust (Percentage of plants showing infection), crop growth stages and spray dates, the risk of brown rust is moderate. Go to  'Edit parameters' to check and update growth stages and spray dates.  This model runs March to June. 
dk.seges.1_1.models.CPO_TRZAX_PUCCRE.output.warning_status_interpretation.3.recommended_action;If the threshold for brown rust is not exceeded, but other diseases are assessed to also cause a risk and the crop has not been treated in the last ten days, choose an effective fungicide, which  also controls brown rust . Continue to check for risk updates and  monitor crops. Update crop growth stage and date of fungicide applications through the season 
dk.seges.1_1.models.CPO_TRZAX_PUCCRE.output.warning_status_interpretation.4.explanation;Based on your observations of the frequency of plants infected with brown rust (Percentage of plants showing infection), crop growth stages and previous spray dates, the risk of brown rust is high. Go to 'Edit  parameters' to check and update growth stages and spray dates. This  model runs March to June. 
dk.seges.1_1.models.CPO_TRZAX_PUCCRE.output.warning_status_interpretation.4.recommended_action;If the crop has not been treated against brown rust in the last ten days, treat according to need. Apart from effectiveness on brown rust the choice of fungicide product should also account for risks of other diseases. Continue to check for risk updates and monitor crops. Update crop growth stage and date of fungicide applications through the season  
dk.seges.1_1.models.CPO_TRZAX_PUCCRE.purpose;Predicts the need for treatment against brown rust in wheat
dk.seges.1_1.models.CPO_TRZAX_PUCCST.description;"THE PEST: Yellow rust  (Puccinia striiformis) is known to attack wheat  THE DECISION: Fungicide treatments may need to be applied between end of tillering (GS 29) and beginning of grain filling (GS 71) to protect leaves from attack of yellow rust and yield losses.  THE MODEL: The CPO yellow rust model is recommending treatments in wheat when thresholds are exceeded.  The risk of attack is based on visual monitoring using frequency of plants attacked. The disease observation is the percentage of plants showing any infection.  For example, if 25 plants out of 100 show even a very small amount of disease and the remaining 80 plants are completely healthy, then the observation is 25%.   In susceptible cultivars treatments are recommended at lower incidence levels than in resistant cultivars.  If a green color appears then no action is needed, yellow means that a limited risk is recognized, while red indicates that action is recommended.  If treatments are recommended specific fungicides known to be effective against wheat yellow rust should be chosen.  When running the yellow rust model the risk for yield losses from other diseases is not considered.   If no action is recommended it is advised to revisit the crop after approximately one week to make a new evaluation of the risk. 
THE PARAMETERS  To obtain accurate risk  predictions it is essential to click on the 'Edit parameters' button and enter information on the cultivar's susceptibility to yellow rust. Only two categorizes are used susceptible and resistant,  if a cultivar is categorized as partly resistant, it is recommended to consider it as susceptible.  Enter the specific growth stages at the time when the crop monitoring was done.  Enter information on the incidence of attacked plants by yellow rust  based on scouting the crop.  Between GS  29-31 whole crop should be assessed. Between GS 32 and 71 assessments should be based only on 3 upper leaves.  Enter information on last fungicide spray dates is vital for the model. This is also done in 'Edit parameters'.  Clicking on 'Save' will keep the observations  entered and update the risk.  After spraying, the model assumes that the crop is protected for 14 days if a broad spectrum fungicide has been applied.
SOURCE: Created by Aarhus University and SEGES and released in Denmark in 2000. The whole CPO model has been tested in the Nordic and Baltic countries previously, but this might not have included testing of the specific powdery mildew part.   The model may be of use in other countries in Northern Europe."
dk.seges.1_1.models.CPO_TRZAX_PUCCST.execution.input_schema.properties.CropId.title;Wheat (spring wheat)
dk.seges.1_1.models.CPO_TRZAX_PUCCST.execution.input_schema.properties.GrowthStage.title;Current growth stage (BBCH code)
dk.seges.1_1.models.CPO_TRZAX_PUCCST.execution.input_schema.properties.Severity.title;Severity (% infected plants)
dk.seges.1_1.models.CPO_TRZAX_PUCCST.execution.input_schema.properties.Susceptibility.title;Susceptibility of the variety to yellow rust
dk.seges.1_1.models.CPO_TRZAX_PUCCST.name;CPO model for yellow rust in wheat
dk.seges.1_1.models.CPO_TRZAX_PUCCST.output.chart_heading;
dk.seges.1_1.models.CPO_TRZAX_PUCCST.output.result_parameters.TREATMENT_ID.description;The CPO's traffic light counterpart. 0 = No need for treatment. 1 = Treat if other problem needs treatment. 2 = Treat if other problem has treatmentId = 2 3 = Need for treatment
dk.seges.1_1.models.CPO_TRZAX_PUCCST.output.result_parameters.TREATMENT_ID.title;The risk assessment
dk.seges.1_1.models.CPO_TRZAX_PUCCST.output.warning_status_interpretation.0.explanation;No warning/out of season
dk.seges.1_1.models.CPO_TRZAX_PUCCST.output.warning_status_interpretation.0.recommended_action;No action needed
dk.seges.1_1.models.CPO_TRZAX_PUCCST.output.warning_status_interpretation.1.explanation;Missing data
dk.seges.1_1.models.CPO_TRZAX_PUCCST.output.warning_status_interpretation.1.recommended_action;Consult your advisory service
dk.seges.1_1.models.CPO_TRZAX_PUCCST.output.warning_status_interpretation.2.explanation;Based on your observations of the frequency of plants infected with yellow rust (Percentage of plants showing infection) , crop growth stages and spray dates, the risk of yellow rust is low.  Go to 'Edit parameters' to check and update disease observations, growth stages and spray dates. This model runs March to June.  
dk.seges.1_1.models.CPO_TRZAX_PUCCST.output.warning_status_interpretation.2.recommended_action;Continue to monitor crops and update crop growth stage and date of fungicide applications through the season
dk.seges.1_1.models.CPO_TRZAX_PUCCST.output.warning_status_interpretation.3.explanation;Based on your observations of the frequency of plants infected with yellow rust (Percentage of plants showing infection), crop growth stages and spray dates, the risk of yellow rust is moderate. Go to 'Edit parameters' to check and update growth stages and spray dates. This model runs March to June. 
dk.seges.1_1.models.CPO_TRZAX_PUCCST.output.warning_status_interpretation.3.recommended_action;If the threshold for yellow rust is not exceeded, but other diseases are assessed to also cause a risk and the crop has not been treated in the last ten days, choose an effective fungicide, which also controls yellow rust. Continue to check for risk updates and monitor crops. Update crop growth stage and date of fungicide applications through the season 
dk.seges.1_1.models.CPO_TRZAX_PUCCST.output.warning_status_interpretation.4.explanation;Based on your observations of the frequency of plants infected with yellow rust (Percentage of plants showing infection), crop growth stages and previous spray dates, the risk of yellow rust is high. Go to 'Edit  parameters' to check and update growth stages and spray dates. This model runs March to June. 
dk.seges.1_1.models.CPO_TRZAX_PUCCST.output.warning_status_interpretation.4.recommended_action;If the crop has not been treated against yellow rust in the last ten  days, treat according to need. Apart from effectiveness on yellow rust the choice of fungicide product should also account for risks of other diseases. Continue to check for risk updates and monitor crops. Update crop growth stage and  date of fungicide applications through the season  
dk.seges.1_1.models.CPO_TRZAX_PUCCST.purpose;Predicts the need for treatment against yellow rust in wheat
dk.seges.1_1.models.CPO_TRZAX_PYRNTR.description;"THE PEST: Tan spot (Pyrenophora tritici-repentis) is known to attack wheat   THE DECISION: Fungicide treatments may need to be applied between beginning of elongation (GS 31)  and beginning of grain filling (GS 71), to protect leaves from attack of tan spot and yield losses.  THE MODEL: The CPO tan spot model is recommending treatments in wheat when thresholds are exceeded.  The risk of attack is based on visual monitoring using frequency of plants attacked. The disease observation is the percentage of plants showing any infection.  For example, if 25 plants out of 100 show even a very small amount of disease and the remaining 80 plants are completely healthy, then the observation is 25%.  In susceptible cultivars treatments are recommended at lower incidence levels than in resistant cultivars.  If a green color appears then no action is needed, yellow means that a limited risk is recognized, while red indicates that action is recommended.  If treatments are recommended specific fungicides known to be effective against this tan spot should be chosen.  When running the tan spot model the risk for yield losses from other diseases is not considered.   If no action is recommended it is advised to revisit the crop after approximately one week to make a new evaluation of the risk. 
THE PARAMETERS  To obtain accurate risk predictions it is essential to click on the 'Edit parameters' button and enter information on the cultivar's susceptibility to tan spot. Only two categories are used susceptible and resistant, if a cultivar is categorised as partly resistant, it is recommended to consider it as susceptible.  Enter the specific growth stages at the time when the crop monitoring was done.  Enter information on the incidence of attacked plants by tan spot based on scouting the crop. Between GS  29-31 whole crop should be assessed.  Between GS 32 and 71 assessments should be based only on 3 upper leaves.  Enter information on last fungicide spray dates is vital for the model. This is also  done in 'Edit parameters'.  Clicking on 'Save' will keep the observations entered and update the risk.   After spraying, the model assumes that the crop is protected for 14 days if a broad spectrum fungicide has been applied.
SOURCE: Created by Aarhus University and SEGES and released in Denmark in 2000. The whole CPO model has been tested in the Nordic and Baltic countries previously, but this might not have included testing of the specific powdery mildew part.   The model may be of use in other countries in Northern Europe."
dk.seges.1_1.models.CPO_TRZAX_PYRNTR.execution.input_schema.properties.CropId.title;Wheat (spring wheat)
dk.seges.1_1.models.CPO_TRZAX_PYRNTR.execution.input_schema.properties.GrowthStage.title;Current growth stage (BBCH code)
dk.seges.1_1.models.CPO_TRZAX_PYRNTR.execution.input_schema.properties.Severity.title;Severity (% infected plants)
dk.seges.1_1.models.CPO_TRZAX_PYRNTR.execution.input_schema.properties.Susceptibility.title;Susceptibility of the variety to tan spot
dk.seges.1_1.models.CPO_TRZAX_PYRNTR.name;CPO model for tan spot in wheat
dk.seges.1_1.models.CPO_TRZAX_PYRNTR.output.chart_heading;
dk.seges.1_1.models.CPO_TRZAX_PYRNTR.output.result_parameters.TREATMENT_ID.description;The CPO's traffic light counterpart. 0 = No need for treatment. 1 = Treat if other problem needs treatment. 2 = Treat if other problem has treatmentId = 2 3 = Need for treatment
dk.seges.1_1.models.CPO_TRZAX_PYRNTR.output.result_parameters.TREATMENT_ID.title;The risk assessment
dk.seges.1_1.models.CPO_TRZAX_PYRNTR.output.warning_status_interpretation.0.explanation;No warning/out of season
dk.seges.1_1.models.CPO_TRZAX_PYRNTR.output.warning_status_interpretation.0.recommended_action;No action needed
dk.seges.1_1.models.CPO_TRZAX_PYRNTR.output.warning_status_interpretation.1.explanation;Missing data
dk.seges.1_1.models.CPO_TRZAX_PYRNTR.output.warning_status_interpretation.1.recommended_action;Consult your advisory service
dk.seges.1_1.models.CPO_TRZAX_PYRNTR.output.warning_status_interpretation.2.explanation;Based on your observations of the frequency of plants infected with tan spot (Percentage of plants showing infection), crop growth stages and spray dates, the risk of tan spot is low.  Go to 'Edit parameters' to check and update disease observations, growth stages and spray dates. This model runs March to June.  
dk.seges.1_1.models.CPO_TRZAX_PYRNTR.output.warning_status_interpretation.2.recommended_action;Continue to monitor crops and update crop growth stage and date of fungicide applications through the season
dk.seges.1_1.models.CPO_TRZAX_PYRNTR.output.warning_status_interpretation.3.explanation;Based on your observations of the frequency of plants infected with tan spot (Percentage of plants showing infection), crop growth stages and spray dates, the risk of tan spot is moderate. Go to 'Edit parameters' to check and update growth stages and spray dates. This model runs March to June. 
dk.seges.1_1.models.CPO_TRZAX_PYRNTR.output.warning_status_interpretation.3.recommended_action;If the threshold for tan spot is not exceeded, but other diseases are assessed to also cause a risk and the crop has not been treated in the last ten days, choose an effective fungicide, which also controls tan spot . Continue to check for risk updates and monitor crops. Update crop growth stage and date of fungicide  applications through the season 
dk.seges.1_1.models.CPO_TRZAX_PYRNTR.output.warning_status_interpretation.4.explanation;Based on your observations of the frequency of plants infected with tan spot (Percentage of plants showing infection), crop growth stages and previous spray dates, the risk of tan spot is high. Go to 'Edit  parameters' to check and update growth stages and spray dates. This  model runs March to June. 
dk.seges.1_1.models.CPO_TRZAX_PYRNTR.output.warning_status_interpretation.4.recommended_action;If the crop has not been treated against tan spot in the last ten days, treat according to need. Apart from effectiveness on tan spot the choice of fungicide product should also account for risks of other diseases. Continue to check for risk updates and monitor crops. Update crop growth stage and  date of fungicide applications through the season  
dk.seges.1_1.models.CPO_TRZAX_PYRNTR.purpose;Predicts the need for treatment against tan spot in wheat
dk.seges.1_1.models.CPO_TRZAX_SEPTTR.description;"THE PEST: Leaf blotch diseases of wheat can be caused by septoria tritici blotch (Zymoseptoria tritici), and Septoria nodorum blotch (Stagonospora nodorium),  which are both favoured by wet conditions.  THE DECISION: Fungicide treatments may need to be applied once or twice between stem extension (GS 32) and flowering (GS 69),  mainly to protect the upper leaves from attack of Septoria diseases.  THE MODEL: The CPO Septoria model estimates risk of septoria tritici blotch infections in winter wheat. Weather data from GS 32 to GS 69 are used.  Spraying is recommended after minimum 4 days with rain (> 1mm) in susceptible cultivars counting days between GS 32 and GS 69.  In resistant cultivars risk of attack is assumed after 5 days with rain (>1mm) between GS 37 and GS 69. Counting of days with rain goes back a maximum of 30 days.  When running the Septoria model the risk for yield losses from other diseases than Septoria is not considered.   If a green color appears then no action is needed, yellow means that a limited risk is recognized, while red indicates that action is recommended.  If no action is recommended it is advised to revisit the crop after approximately one week to make a new evaluation of the risk. 
THE PARAMETERS  To obtain accurate risk  predictions it is essential to click on the 'Edit parameters' button and enter information on the cultivar's susceptibility to Septoria diseases. Only two categorizes are used susceptible and resistant, if a cultivar is categorized as partly resistant,  we recommend that it is considered as susceptible.  Enter the specific growth stages at the time when the crop monitoring and weather data is entered.  Enter information on the incidence of attacked plants by Septoria diseases based on scouting the crop on leaf 3 from the top. If more than 10% of 3rd leaves (F-2) are attacked  and no previous treatments have been applied against Septoria it is recommended to spray even if fewer than 4 days with precipitation has been counted.  Entering information on last fungicide spray dates is vital for the model. This is also done in 'Edit parameters'.  Clicking on 'Save' will keep the observations entered and update the risk.  After spraying, the model assumes that the crop is protected for 14 days if a broad spectrum fungicide has been applied.
ASSUMPTIONS: Septoria tritici blotch is present in the crop and periods with high humidity create risk for a damaging epidemic
SOURCE: Created by Aarhus University and SEGES and released in Denmark in 2000. The whole CPO model has been tested in the Nordic and Baltic countries previously, but this might not have included testing of the specific powdery mildew part.   The model may be of use in other countries in Northern Europe."
dk.seges.1_1.models.CPO_TRZAX_SEPTTR.execution.input_schema.properties.CropId.title;Wheat (spring wheat)
dk.seges.1_1.models.CPO_TRZAX_SEPTTR.execution.input_schema.properties.GrowthStage.title;Current growth stage (BBCH code)
dk.seges.1_1.models.CPO_TRZAX_SEPTTR.execution.input_schema.properties.Severity.title;Severity (% infected plants)
dk.seges.1_1.models.CPO_TRZAX_SEPTTR.execution.input_schema.properties.Susceptibility.title;Susceptibility of the variety to Septoria
dk.seges.1_1.models.CPO_TRZAX_SEPTTR.name;CPO model for Septoria in wheat
dk.seges.1_1.models.CPO_TRZAX_SEPTTR.output.chart_heading;
dk.seges.1_1.models.CPO_TRZAX_SEPTTR.output.result_parameters.TREATMENT_ID.description;The CPO's traffic light counterpart. 0 = No need for treatment. 1 = Treat if other problem needs treatment. 2 = Treat if other problem has treatmentId = 2 3 = Need for treatment
dk.seges.1_1.models.CPO_TRZAX_SEPTTR.output.result_parameters.TREATMENT_ID.title;The risk assessment
dk.seges.1_1.models.CPO_TRZAX_SEPTTR.output.warning_status_interpretation.0.explanation;No warning/out of season
dk.seges.1_1.models.CPO_TRZAX_SEPTTR.output.warning_status_interpretation.0.recommended_action;No action needed
dk.seges.1_1.models.CPO_TRZAX_SEPTTR.output.warning_status_interpretation.1.explanation;Missing data
dk.seges.1_1.models.CPO_TRZAX_SEPTTR.output.warning_status_interpretation.1.recommended_action;Consult your advisory service
dk.seges.1_1.models.CPO_TRZAX_SEPTTR.output.warning_status_interpretation.2.explanation;Based on weather data and your observations of the frequency of plants infected with septoria (Percentage of plants showing infection on 3rd leaf from top), crop growth stages and septoria spray dates, the risk of septoria is low.  Go to 'Edit parameters' to check and weather data, update disease observations, growth stages and spray dates. This model runs March to June.  
dk.seges.1_1.models.CPO_TRZAX_SEPTTR.output.warning_status_interpretation.2.recommended_action;Continue to monitor days with precipitation, monitor the crops and update crop growth stage and date of fungicide applications through the season
dk.seges.1_1.models.CPO_TRZAX_SEPTTR.output.warning_status_interpretation.3.explanation;Based on weather data and your observations of the frequency of plants infected with septoria (Percentage of plants showing infection on 3rd leaf from top), crop growth stages and septoria spray dates, the risk of septoria is moderate. Go to 'Edit parameters' to check and update growth stages and spray dates. This model runs March-end of June.
dk.seges.1_1.models.CPO_TRZAX_SEPTTR.output.warning_status_interpretation.3.recommended_action;If the risk threshold for septoria is not exceeded, but other diseases are assessed to also cause a risk and the crop has not been treated in the last ten days, choose an effective fungicide, which  also controls septoria. Continue to check for risk updates and monitor crops. Update crop growth stage and date of fungicide applications through the season 
dk.seges.1_1.models.CPO_TRZAX_SEPTTR.output.warning_status_interpretation.4.explanation;Based on weather data and your observations of the frequency of plants infected with septoria (Percentage of plants showing infection on 3rd leaf from top), crop growth stages and septoria spray dates, the risk of septoria is high. Go to 'Edit parameters' to check and update growth stages and spray dates. This model runs March to June. 
dk.seges.1_1.models.CPO_TRZAX_SEPTTR.output.warning_status_interpretation.4.recommended_action;If the crop has not been treated against septoria in the last ten days, treat according to need. Apart from effectiveness on septoria the choice of fungicide product should also account for risks of other diseases. Continue to check for risk updates and monitor crops. Update crop growth stage and date of fungicide applications through the season  
dk.seges.1_1.models.CPO_TRZAX_SEPTTR.purpose;Predicts the need for treatment against Septoria in wheat
