KEY;default;de;sl;nl;dk;se;gr;no;fi;lt;fr;it;pl;es;pt
no.nibio.vips.2_0.models.NAERSTADMO.output.warning_status_interpretation.3.recommended_action;watch warnings closely;;;;;;;;;; ;;;;
no.nibio.vips.2_0.models.NAERSTADMO.output.warning_status_interpretation.4.explanation;Risk > 2,5 = warning issued;Risiko < 1 = keine Warnung (Grün) Risiko > 1 und < 2,5 = mögliche Warnung, wenn die Bedingungen anhalten (Gelb) Risiko > 2,5 = Warnung ausgegeben (Rot)Wenn eine Warnung ausgegeben wird, sollte jede Bekämpfungsmaßnahme auf der Grundlage der Sortenresistenz, der Wahl des Fungizids und des Zeitpunkts der letzten Anwendung erwogen werden. Das Infektionsrisiko ist am höchsten, wenn mehrere Tage hintereinander eine Warnung ausgegeben wurde und insbesondere, wenn in dem Gebiet Kraut- und Knollenfäule beobachtet wurde.;Tveganje < 1 = ni opozorila (zelena). Tveganje > 1 in < 2,5 = možno opozorilo, če se razmere nadaljujejo (rumena). Tveganje > 2,5 = izdano opozorilo (rdeča). Ko je izdano opozorilo, je treba upoštevati vse nadzorne ukrepe glede na odpornost sorte, izbiro fungicida in čas zadnje uporabe fungicida. Tveganje za okužbo je največje po več zaporednih dneh z opozorili in zlasti, če je bila na območju opažena krompirjeva plesen.;Risico < 1 = geen waarschuwing (Groen). Risico > 1 en < 2,5 = mogelijke waarschuwing verschijnt als de omstandigheden aanhouden (Geel). Risico > 2,5 = waarschuwing afgegeven (Rood). Wanneer een waarschuwing wordt gegeven, moet elke beheersmaatregel worden genomen overwogen op basis van cultivarresistentie, keuze van fungicide en tijdstip van laatste toepassing. Het infectierisico is het hoogst na meerdere opeenvolgende dagen met waarschuwingen, en vooral als er Phytophthora in het gebied is waargenomen.;Risiko < 1 = ingen advarsel (grøn)Risiko > 1 og < 2,5 = eventuel advarsel, hvis forholdene varer ved (gul)Risiko > 2,5 = advarsel udstedt (rød)Når der udstedes en advarsel, bør enhver bekæmpelsesforanstaltning overvejes på grundlag af sorteresistens, valg af fungicid og tidspunkt for sidste anvendelse. Smitterisikoen er størst efter flere dage i træk med advarsler, og især hvis der er observeret kartoffelskimmel i området.;Risk < 1 = ingen varning (Grön) Risk > 1 och < 2,5 = möjlig varning som kommer om förhållandena kvarstår (Gul) Risk > 2,5 = varning utfärdad (röd) När en varning utfärdas bör alla bekämpningsåtgärder vidtas, baserat på sortresistens, val av fungicid och tidpunkt för senaste fungicidbehandling. Risken för infektion är störst efter flera på varandra följande dagar med varningar, och speciellt om bladmögel har observerats i området.;Κίνδυνος < 1 = δεν υπάρχει προειδοποίηση (Πράσινο)Κίνδυνος > 1 και < 2,5 = πιθανή προειδοποίηση αν οι συνθήκες επιμένουν (Κίτρινο)Κίνδυνος > 2,5 = εκδίδεται προειδοποίηση (Κόκκινο)Όταν εκδίδεται προειδοποίηση, θα πρέπει να εξετάζεται κάθε μέτρο καταπολέμησης με βάση την ανθεκτικότητα της ποικιλίας, την επιλογή του μυκητοκτόνου και τον χρόνο της τελευταίας εφαρμογής. Ο κίνδυνος μόλυνσης είναι υψηλότερος μετά από αρκετές διαδοχικές ημέρες με προειδοποιήσεις, και ιδιαίτερα εάν έχει παρατηρηθεί περονόσπορος στην περιοχή.;;;;Risque < 1 = pas d'avertissement (vert) Risque > 1 et < 2,5 = avertissement possible si les conditions persistent (jaune) Risque > 2,5 = avertissement émis (rouge). Lorsqu'un avertissement est émis, toute mesure de lutte doit être envisagée en tenant compte de la résistance du cultivar, du choix du fongicide et du moment de la dernière application. Le risque d'infection est le plus élevé après plusieurs jours consécutifs d'avertissement,  surtout si le mildiou a été observé dans la région.;"Rischio < 1 = nessun avviso (verde) Rischio > 1 e < 2,5 = possibile avviso in arrivo se le condizioni persistono (giallo) Rischio > 2,5 = avviso emesso (rosso)
Quando viene emesso un avviso, qualsiasi misura di controllo deve essere presa in considerazione in base alla resistenza della cultivar, alla scelta del fungicida e all'ora dell'ultimo trattamento. Il rischio di infezione è più elevato dopo diversi giorni consecutivi di allerta, soprattutto se nella zona è stata osservata la peronospora tardiva.";;;
no.nibio.vips.2_0.models.NAERSTADMO.output.warning_status_interpretation.4.recommended_action;A control measure should be considered based on cultivar resistance, time of last application and choice of fungicide. Risk of infection is highest after several consecutive days with warnings, and especially if late blight has been observed in the area.;;;;;;;;;;;;;;
no.nibio.vips.2_0.models.NAERSTADMO.purpose;Daily risk of infection;;;;;;;;;;;;;;
no.nibio.vips.2_0.models.NEGPROGMOD.description;"THE PEST: Potato late blight, caused by the fungus-like organism Phytophthora infestans causes severe damage to the foliage and can infect the tubers at harvest. THE DECISION: The model is designed to guide the timing of the first late blight fungicide application, when used in combination with other agronomic risk factors.  THE MODEL: The model uses weather data to estimate the 'epidemic free' period ('negative prognosis') by calculating the accumulated blight risk from the date of crop emergence. The model guides the first spray timing at the end of the 'epidemic free' period.  THE PARAMETERS: From the date of crop emergence, daily risk values are accumulated based on weather data (temperature, relative humidity and precipitation). The risk is an accumulated value of how the weather affects late blight germination/infection, sporulation and growth. All processes are corrected for inhibition due to drying. After the accumulated risk has reached certain thresholds, there is likely to be moderate or high blight risk.  SOURCE: The model was first introduced by Schrodter and Ullrich in Germany in the 1970s and has been widely used in Europe since.   ASSUMPTIONS: The model is based on weather data.  Other agronomic factors, such as time of row closure, cultivar susceptibility, the presence or absence of blight inoculum sources, are not included in the risk estimate. It is not applicable to potatoes grown under protection.   REFERENCE: After the original paper by Ullrich, J. & Schrödter, H. (1966), the negative prognosis model was tested in other countries (e.g. by Taylor M. C. 2003 in the UK) and was commonly combined with other models to guide subsequent fungicide applications.  Combined models, such as NegFry, have been tested in many countries, e.g. by Hansen J. G. et al., 1995 in Denmark; ";"SCHADERREGER: Die Kraut- und Knollenfäule der Kartoffel, die durch den pilzähnlichen Organismus Phytophthora infestans ausgelöst wird, verursacht schwere Schäden an den Blättern und kann die Knollen bei der Ernte infizieren. 
ENTSCHEIDUNG: Das Modell wurde entwickelt, um in Kombination mit anderen agronomischen Risikofaktoren den Zeitpunkt der ersten Fungizidanwendung gegen Kraut- und Knollenfäule zu bestimmen.  
MODELL: Das Modell schätzt anhand von Wetterdaten den ""epidemiefreien"" Zeitraum (""Negativ-Prognose""), indem es das kumulierte Krautfäule-Risiko ab dem Zeitpunkt des Auftretens der Kultur berechnet. Das Modell bestimmt den Zeitpunkt der ersten Spritzung am Ende des ""epidemiefreien"" Zeitraums.  
PARAMETER: Ab dem Zeitpunkt des Auflaufens der Kultur werden auf der Grundlage von Wetterdaten (Temperatur, relative Luftfeuchtigkeit und Niederschlag) täglich Risikowerte kumuliert. Das Risiko ist ein kumulierter Wert, der angibt, wie sich das Wetter auf die Keimung/Infektion, die Sporulation und das Wachstum der Kraut- und Knollenfäule auswirkt. Alle Prozesse werden um die Hemmung durch Trocknung korrigiert. Wenn das kumulierte Risiko bestimmte Schwellenwerte erreicht hat, besteht wahrscheinlich ein mittleres oder hohes Krautfäule-Risiko. 
QUELLE: Das Modell wurde erstmals in den 1970er Jahren von Schrodter und Ullrich in Deutschland eingeführt und ist seitdem in Europa weit verbreitet.   ANNAHMEN: Das Modell stützt sich auf Wetterdaten.  Andere agronomische Faktoren wie der Zeitpunkt des Reihenschlusses, die Anfälligkeit der Sorte und das Vorhandensein oder Fehlen von Inokulumquellen für die Kraut- und Knollenfäule werden bei der Risikoabschätzung nicht berücksichtigt. Sie ist nicht auf Kartoffeln anwendbar, die unter Folie angebaut werden.   
REFERENZ: Nach der Originalarbeit von Ullrich, J. & Schrödter, H. (1966) wurde das Negativprognosemodell in anderen Ländern getestet (z. B. von Taylor M. C. 2003 im Vereinigten Königreich) und häufig mit anderen Modellen kombiniert, um die nachfolgenden Fungizidanwendungen zu steuern.  Kombinierte Modelle, wie NegFry, wurden in vielen Ländern getestet, z. B. von Hansen J. G. et al. 1995 in Dänemark; ";"ŠKODLJIV ORGANIZEM: krompirjeva plesen, ki jo povzroča glivi podoben organizem Phytophthora infestans in povzroča hudo škodo na listju ter lahko okuži gomolje ob žetvi. ODLOČITEV: Model je zasnovan tako, da v kombinaciji z drugimi agronomskimi dejavniki tveganja usmerja čas prve uporabe fungicida proti krompirjevi pegavosti. MODEL: Model uporablja vremenske podatke za oceno obdobja brez epidemije (""negativna napoved"") z izračunom akumuliranega tveganja za okužbe s krompirjevo plesnijo od datuma vznika pridelka. Model določa čas prvega škropljenja ob koncu obdobja brez epidemije.  PARAMETRI: Od dneva vznika posevka se na podlagi vremenskih podatkov (temperatura, relativna vlažnost in padavine) zbirajo dnevne vrednosti tveganja. Tveganje je akumulirana vrednost vpliva vremena na kalitev/okužbo, sporulacijo in rast krompirjeve plesni. Vsi procesi so popravljeni za zaviranje zaradi sušenja. Ko akumulirano tveganje doseže določene mejne vrednosti, obstaja verjetnost zmernega ali visokega tveganja za pojav krompirjeve plesni.  VIR: Schrodter in Ullrich sta model prvič uvedla v Nemčiji v sedemdesetih letih prejšnjega stoletja in se od takrat pogosto uporablja v Evropi.   PREDPOSTAVKE: Model temelji na vremenskih podatkih.  Drugi agronomski dejavniki, kot so čas ko so popolnoma sklenjene vrste, dovzetnost kultivarja, prisotnost ali odsotnost virov inokuluma krompirjeve plesni, niso vključeni v oceno tveganja. Model se ne uporablja za krompir, ki se prideluje pod zaščito.   LITERATURA: Po prvotnem članku Ullrich, J. & Schrödter, H. (1966) je bil model negativne napovedi preizkušen v drugih državah (npr. Taylor M. C. 2003 v Združenem kraljestvu) in je bil pogosto kombiniran z drugimi modeli za usmerjanje nadaljnje uporabe fungicidov.  Kombinirani modeli, kot je NegFry, so bili preizkušeni v številnih državah, na primer Hansen J. G. et al. 1995 na Danskem; ";"DE PEST: Aardappelziekte, veroorzaakt door het schimmelachtige organisme Phytophthora infestans, veroorzaakt ernstige schade aan het gebladerte en kan de knollen bij de oogst infecteren. HET BESLUIT: Het model is ontworpen als leidraad voor de timing van de eerste toepassing van Phytophthora-fungicide, indien gebruikt in combinatie met andere agronomische risicofactoren. HET MODEL: Het model maakt gebruik van weergegevens om de ‘epidemievrije’ periode (‘negatieve prognose’) in te schatten door het geaccumuleerde infectierisico vanaf de datum van opkomst van het gewas te berekenen. Het model begeleidt het eerste spuitmoment aan het einde van de ‘epidemievrije’ periode. DE PARAMETERS: Vanaf de datum van gewasopkomst worden dagelijkse risicowaarden geaccumuleerd op basis van weergegevens (temperatuur, relatieve vochtigheid en neerslag). Het risico is een geaccumuleerde waarde van hoe het weer de kieming/infectie, sporulatie en groei van de aardappelziekte beïnvloedt. Alle processen zijn gecorrigeerd voor remming door uitdroging. Nadat het geaccumuleerde risico bepaalde drempels heeft bereikt, is er waarschijnlijk een matig of hoog infectierisico. BRON: Het model werd voor het eerst geïntroduceerd door Schrodter en Ullrich in Duitsland in de jaren 70 en is sindsdien op grote schaal gebruikt in Europa. AANNAMES: Het model is gebaseerd op weergegevens. Andere agronomische factoren, zoals sluitingstijd van rijen, gevoeligheid voor cultivars, de aan- of afwezigheid van bronnen van inoculum van de ziekte, worden niet meegenomen in de risicoschatting. Het is niet van toepassing op aardappelen die onder bescherming worden geteeld. REFERENTIE: Na het originele artikel van Ullrich, J. & Schrödter, H. (1966), werd het negatieve prognosemodel in andere landen getest (bijv. door Taylor M.C. 2003 in het VK) en werd het vaak gecombineerd met andere modellen om de daaropvolgende fungicidetoepassing te adviseren. Gecombineerde modellen, zoals NegFry, zijn in veel landen getest, b.v. door Hansen J.G. et al., 1995 in Denemarken;";"SKADEVOLDER: Kartoffelskimmel, forårsaget af den svampelignende organisme Phytophthora infestans forårsager alvorlig skade på blade og kan inficere knolde ved høst. BESLUTNING: Modellen er designet til at styre timingen af den første anvendelse af fungicider mod kartoffelskimmel, når den anvendes i kombination med andre agronomiske risikofaktorer.  MODELLEN: Modellen bruger vejrdata til at estimere den 'epidemifri' periode ('negativ prognose') ved at beregne den akkumulerede skimmelrisiko fra datoen for afgrødens fremkomst. Modellen styrer den første sprøjtetid i slutningen af den 'epidemifrie' periode.  PARAMETRENE: Fra datoen for afgrødens fremkomst akkumuleres daglige risikoværdier baseret på vejrdata (temperatur, relativ fugtighed og nedbør). Risikoen er en akkumuleret værdi af, hvordan vejret påvirker kartoffelskimmel/infektion, sporulation og vækst. Alle processer korrigeres for hæmning på grund af tørring. Når den akkumulerede risiko har nået visse tærskler, vil der sandsynligvis være moderat eller høj risiko for skimmel.  KILDE: Modellen blev først introduceret af Schrodter og Ullrich i Tyskland i 1970'erne og har været meget udbredt i Europa siden.   FORUDSÆTNINGER: Modellen er baseret på vejrdata.  Andre agronomiske faktorer, såsom tidspunkt for rækkelukning, sortsmodtagelighed, tilstedeværelse eller fravær af podekilder til skimmel, er ikke medtaget i risikovurderingen. Det gælder ikke for kartofler dyrket under beskyttelse.   REFERENCE: Efter det originale papir af Ullrich, J. &Schrödter, H. (1966) blev den negative prognosemodel testet i andre lande (f.eks. af Taylor M. C. 2003 i Storbritannien) og blev almindeligvis kombineret med andre modeller til at guide efterfølgende fungicidapplikationer.  Kombinerede modeller, såsom NegFry, er blevet testet i mange lande, f.eks. af Hansen J. G. et al., 1995 i Danmark; ";"SKADEGÖRAREN: Potatisbladmögel, orsakat av den svampliknande organismen Phytophthora infestans orsakar allvarliga skador på potatisblasten och kan infektera knölarna. BESLUTET: Modellen är utformad för att bestämma tidpunkten för den första fungicidbehandlingen när den används i kombination med andra agronomiska riskfaktorer. MODELLEN: Modellen använder väderdata för att bestämma den 'epidemifria' perioden ('negativ prognos') genom att beräkna den ackumulerade risken för bladmögel från datumet för uppkomsten av grödan. Modellen bestämmer datum för första behandling i slutet av den ""epidemifria"" perioden. PARAMETRARNA: Från uppkomsten av grödan ackumuleras dagliga riskvärden baserat på väderdata (temperatur, relativ fuktighet och nederbörd). Risken är ett ackumulerat värde av hur vädret påverkar sporgroning/infektion, sporbildning och tillväxt. Alla processer är korrigerade för hämning på grund av torkning. Efter att den ackumulerade risken har nått vissa tröskelvärden, finns det sannolikt en måttlig eller hög risk för infektion. KÄLLA: Modellen introducerades först av Schrodter och Ullrich i Tyskland på 1970-talet och har använts flitigt i Europa sedan dess. ANTAGANDEN: Modellen är baserad på väderdata. Andra agronomiska faktorer, såsom tidpunkt för stängning av raden, känslighet för sorter, förekomst eller frånvaro av källor till inokulum från röta, ingår inte i riskuppskattningen. Det är inte tillämpligt på potatis som odlas under täckväv. REFERENS: Efter originalartikeln av Ullrich, J. & Schrödter, H. (1966), testades den negativa prognosmodellen i andra länder (t.ex. av Taylor M. C. 2003 i Storbritannien) och kombinerades vanligen med andra modeller för att vägleda efterföljande fungicid applikationer. Kombinerade modeller, som NegFry, har testats i många länder, t.ex. av Hansen J.G. et al., 1995 i Danmark;";"Ο ΕΧΘΡΟΣ: Ο περονόσπορος της πατάτας, που προκαλείται από τον μυκητοειδή οργανισμό Phytophthora infestans, προκαλεί σοβαρές ζημιές στο φύλλωμα και μπορεί να μολύνει τους κονδύλους κατά τη συγκομιδή. Η ΑΠΟΦΑΣΗ: Το μοντέλο έχει σχεδιαστεί για να καθοδηγήσει το χρόνο της πρώτης εφαρμογής μυκητοκτόνου για τον περονόσπορο, όταν χρησιμοποιείται σε συνδυασμό με άλλους αγρονομικούς παράγοντες κινδύνου.  ΤΟ ΜΟΝΤΕΛΟ: Το μοντέλο χρησιμοποιεί μετεωρολογικά δεδομένα για να εκτιμήσει την περίοδο ""χωρίς επιδημία"" (""αρνητική πρόγνωση"") υπολογίζοντας τον συσσωρευμένο κίνδυνο εμφάνισης του περονόσπορου από την ημερομηνία εμφάνισης της καλλιέργειας. Το μοντέλο καθοδηγεί το χρονοδιάγραμμα του πρώτου ψεκασμού στο τέλος της περιόδου ""χωρίς επιδημία"".  ΟΙ ΠΑΡΑΜΕΤΡΟΙ: Από την ημερομηνία εμφάνισης της καλλιέργειας, συσσωρεύονται ημερήσιες τιμές κινδύνου με βάση καιρικά δεδομένα (θερμοκρασία, σχετική υγρασία και βροχόπτωση). Ο κίνδυνος είναι μια συσσωρευμένη τιμή του τρόπου με τον οποίο ο καιρός επηρεάζει τη βλάστηση/μόλυνση, τη σποροποίηση και την ανάπτυξη του περονόσπορου. Όλες οι διαδικασίες διορθώνονται για την αναστολή λόγω ξήρανσης. Αφού ο συσσωρευμένος κίνδυνος φθάσει σε ορισμένα όρια, είναι πιθανό να υπάρχει μέτριος ή υψηλός κίνδυνος περονόσπορου.  ΠΗΓΗ: Το μοντέλο εισήχθη για πρώτη φορά από τους Schrodter και Ullrich στη Γερμανία τη δεκαετία του 1970 και έκτοτε χρησιμοποιείται ευρέως στην Ευρώπη.   ΠΑΡΑΔΟΧΕΣ: Το μοντέλο βασίζεται σε μετεωρολογικά δεδομένα.  Άλλοι αγρονομικοί παράγοντες, όπως ο χρόνος κλεισίματος των γραμμών, η ευαισθησία της ποικιλίας, η παρουσία ή η απουσία πηγών περονόσπορου, δεν περιλαμβάνονται στην εκτίμηση του κινδύνου. Δεν εφαρμόζεται σε πατάτες που καλλιεργούνται υπό προστασία.   ΑΝΑΦΟΡΑ: Μετά την αρχική εργασία των Ullrich, J. & Schrödter, H. (1966), το μοντέλο αρνητικής πρόγνωσης δοκιμάστηκε σε άλλες χώρες (π.χ. από τον Taylor M. C. 2003 στο Ηνωμένο Βασίλειο) και συνδυάστηκε συνήθως με άλλα μοντέλα για να καθοδηγήσει τις επακόλουθες εφαρμογές μυκητοκτόνων.  Συνδυασμένα μοντέλα, όπως το NegFry, έχουν δοκιμαστεί σε πολλές χώρες, π.χ. από τον Hansen J. G. et al., 1995 στη Δανία,";;;;"LA MALADIE : Le mildiou de la pomme de terre, causé par l'organisme fongique Phytophthora infestans, cause de graves dommages au feuillage et peut infecter les tubercules à la récolte.
LA DÉCISION : Le modèle est conçu pour guider le moment de la première application de fongicide contre le mildiou, lorsqu'il est utilisé en combinaison avec d'autres facteurs de risque agronomique. 
LE MODÈLE : Le modèle utilise les données météorologiques pour estimer la période sans épidémie (pronostic négatif) en calculant le risque cumulé de mildiou à partir de la date d'émergence de la culture. Le modèle guide le calendrier de la première pulvérisation à la fin de la période ""sans épidémie"". 
LES PARAMÈTRES : À partir de la date de levée de la culture, les valeurs de risque quotidiennes sont accumulées sur la base des données météorologiques (température, humidité relative et précipitations). Le risque est une valeur cumulée de la façon dont la météo affecte la germination/infection, la sporulation et la croissance du mildiou. Tous les processus intègrent l'inhibition de la maladie en conditions sèches. Lorsque le risque cumulé atteint les seuils, il est probable que le risque de mildiou soit modéré ou élevé. 
SOURCE : Le modèle a été introduit pour la première fois par Schrodter et Ullrich en Allemagne dans les années 1970 et a été largement utilisé en Europe depuis.  
HYPOTHÈSES : Le modèle est basé sur des données météorologiques.  D'autres facteurs agronomiques, tels que le date de fermeture des rangs, la sensibilité du cultivar, la présence ou l'absence de sources d'inoculum de mildiou, ne sont pas inclus dans l'estimation du risque. Il n'est pas applicable aux pommes de terre cultivées sous abri.  
RÉFÉRENCE : D'après l'article original de Ullrich, J. & Schrödter, H. (1966), le modèle de pronostic négatif a été testé dans d'autres pays (par exemple par Taylor M. C. 2003 au Royaume-Uni) et a été couramment combiné avec d'autres modèles pour guider les applications ultérieures de fongicides.  Des modèles combinés, tels que NegFry, ont été testés dans de nombreux pays, par exemple par Hansen J. G. et al. 1995 au Danemark.";"L'INFESTANTE: la peronospora della patata, causata dall'organismo fungino Phytophthora infestans, provoca gravi danni al fogliame e può infettare i tuberi al momento del raccolto. LA DECISIONE: Il modello è stato progettato per guidare la tempistica della prima applicazione del fungicida per la peronospora tardiva, se utilizzato in combinazione con altri fattori di rischio agronomico.  
IL MODELLO: Il modello utilizza i dati meteorologici per stimare il periodo ""libero da epidemie"" (""prognosi negativa"") calcolando il rischio di peronospora accumulato a partire dalla data di comparsa della coltura. Il modello guida la tempistica della prima irrorazione alla fine del periodo ""libero da epidemie"".  
I PARAMETRI: a partire dalla data di comparsa della coltura, i valori giornalieri del rischio vengono accumulati in base ai dati meteorologici (temperatura, umidità relativa e precipitazioni). Il rischio è un valore accumulato di come le condizioni meteorologiche influenzano la germinazione/infezione, la sporulazione e la crescita della peronospora tardiva. Tutti i processi sono corretti per l'inibizione dovuta all'essiccazione. Quando il rischio accumulato raggiunge determinate soglie, è probabile che il rischio di peronospora sia moderato o elevato.  
FONTE: Il modello è stato introdotto per la prima volta da Schrodter e Ullrich in Germania negli anni '70 e da allora è stato ampiamente utilizzato in Europa.   
ASSUNZIONI: Il modello si basa su dati meteorologici.  Altri fattori agronomici, come l'epoca di chiusura delle file, la suscettibilità della cultivar, la presenza o l'assenza di fonti di inoculo della peronospora, non sono inclusi nella stima del rischio. Non è applicabile alle patate coltivate in coltura protetta.   
RIFERIMENTI: Dopo l'articolo originale di Ullrich, J. & Schrödter, H. (1966), il modello di prognosi negativa è stato testato in altri Paesi (ad esempio da Taylor M. C. 2003 nel Regno Unito) ed è stato comunemente combinato con altri modelli per guidare le successive applicazioni di fungicidi.  I modelli combinati, come NegFry, sono stati testati in molti Paesi, ad esempio da Hansen J. G. et al., 1995 in Danimarca; ";;;
no.nibio.vips.2_0.models.NEGPROGMOD.execution.input_schema.properties.configParameters.properties.timeEnd.title;End date of calculation (YYYY-MM-DD);Enddatum der Berechnung (JJJJ-MM-TT);Končni datum izračuna (LLLL-MM-DD);Einddatum berekening (JJJJ-MM-DD);Slutdato for beregning (ÅÅÅÅ-MM-DD);Slutdatum för beräkning (ÅÅÅÅ-MM-DD);Ημερομηνία λήξης του υπολογισμού (ΕΕΕΕ-ΜΜ-ΗΗ);;;;Date de fin du calcul (AAAA-MM-JJ);Fine data di calcolo (YYYY-MM-GG);;;
no.nibio.vips.2_0.models.NEGPROGMOD.execution.input_schema.properties.configParameters.properties.timeStart.title;Date of crop emergence (YYYY-MM-DD);Auflaufdatum (JJJJ-MM-TT);Začetni datum izračuna (LLLL-MM-DD);Datum van opkomst van het gewas (JJJJ-MM-DD);Dato for afgrødens fremkomst (ÅÅÅÅ-MM-DD);Startdatum för beräkningen (ÅÅÅÅ-MM-DD);Ημερομηνία εμφάνισης της καλλιέργειας (ΕΕΕΕ-MM-ΗΗ);;;;Date de levée de la culture (AAAA-MM-JJ);Data di comparsa della coltura (AAAA-MM-GG);;;
no.nibio.vips.2_0.models.NEGPROGMOD.execution.input_schema.properties.configParameters.properties.timeZone.title;Time zone (e.g. Europe/Oslo);Zeitzone (z. B. Europa/Oslo);Časovni pas (npr. Evropa/Oslo);Tijdzone (bijv. Europa/Oslo);Tidszone (f.eks. Europa/Oslo);Tidszon (t.ex. Europa/Stockholm);Ζώνη ώρας (π.χ. Ευρώπη/Οσλο);;;;Fuseau horaire (par exemple, Europe/Oslo);Fuso orario (es. Europa/Oslo);;;
no.nibio.vips.2_0.models.NEGPROGMOD.execution.input_schema.properties.configParameters.title;Configuration parameters;Konfigurationsparameter;Parametri konfiguracije;Configuratieparameters:;Konfigurationsparametre;Konfigurationsparametrar;Παράμετροι διαμόρφωσης;;;;Paramètres de configuration;Configurazione parametri;;;
no.nibio.vips.2_0.models.NEGPROGMOD.execution.input_schema.properties.modelId.title;Model Id (Must be NEGPROGMOD);Modell-ID (muss NEGPROGMOD sein);Model ID (Mora biti NEGPROGMOD);Model-ID (moet NEGPROGMOD zijn);Model-id (skal være NEGPROGMOD);Modell ID (Måste vara NEGPROGMOD);Μοντέλο ID (Πρέπει να είναι NEGPROGMOD);;;;Model Id (Doit être NEGPROGMOD);ID Modello (Deve essere NEGPROGMOD);;;
no.nibio.vips.2_0.models.NEGPROGMOD.name;Negative prognosis;Negativprognose;Negativna napoved;Negatieve prognose;Negativ prognose;Potatisbladmögelmodell (Negativprognos);Αρνητική πρόγνωση;;;;Pronostic négatif;Prognosi negativa;;;
no.nibio.vips.2_0.models.NEGPROGMOD.output.chart_groups.G1.title;Infection risk;Infektionsrisiko;Tveganje za pojav okužb;infectie risico;Smitterisiko;Infektionsrisk;Κίνδυνος μόλυνσης;;;;Risque d'infection;Rischio infezione;;;
no.nibio.vips.2_0.models.NEGPROGMOD.output.chart_heading;;;;;;;;;;; ;;;;
no.nibio.vips.2_0.models.NEGPROGMOD.output.result_parameters.AGGREGATED_CONTRIB.description;The aggregated risk;Das aggregierte Risiko;Agregirano tveganje;Het geaggregeerde risico;Den samlede risiko;Den sammanlagda risken;Ο συγκεντρωτικός κίνδυνος;;;;Risque agrégé;Rischio aggregato;;;
no.nibio.vips.2_0.models.NEGPROGMOD.output.result_parameters.AGGREGATED_CONTRIB.title;Aggregated infection risk;Aggregiertes Infektionsrisiko;Agregirano tveganje za pojav okužb;Geaggregeerd infectierisico;Samlet infektionsrisiko;Sammanlagd infektionsrisk;Συγκεντρωτικός κίνδυνος μόλυνσης;;;;Risque d'infection agrégé;Rischio aggregato di infezione;;;
no.nibio.vips.2_0.models.NEGPROGMOD.output.result_parameters.INFECTION_THRESHOLD.description;"Threshold for \""High infection risk\""";Schwellenwert für ‘Hohes Infektionsrisiko’;Prag za ‘visoko tveganje za pojav okužb’;"Drempel voor 'Hoog infectierisico'
";"Tærskel for \""Høj infektionsrisiko\""""no.nibio.vips.2_0.modeller. NEGPROGMOD.output.result_parameters. INFECTION_THRESHOLD.title";"Tröskel för ""Hög infektionsrisk""";"Κατώφλι για ""Υψηλό κίνδυνο μόλυνσης""";;;;"Seuil de ""risque d'infection élevé"". ""no.nibio.vips.2_0.models.NEGPROGMOD.output.result_parameters.INFECTION_THRESHOLD.title"" (titre)";"Soglia per ""Alto rischio di infezione""";;;
